Sample Group,Filename,Read Count
D18-2659,,
,180327Ess_D18-2659_1P.fastq,9688759
,180327Ess_D18-2659_2P.fastq,9688759
,180327Ess_D18-2659.assembled.fastq,6419514
,180327Ess_D18-2659.unassembled.forward.fastq,3269245
,180327Ess_D18-2659.unassembled.reverse.fastq,3269245
,D18-2659_AAC_AXA.matched.fastq,14565
,D18-2659_AAC_AXC.matched.fastq,10639
,D18-2659_AAC_AXG.matched.fastq,9446
,D18-2659_AAC_AXT.matched.fastq,14874
,D18-2659_AAC_CXA.matched.fastq,12170
,D18-2659_AAC_CXC.matched.fastq,9121
,D18-2659_AAC_CXG.matched.fastq,7842
,D18-2659_AAC_CXT.matched.fastq,14155
,D18-2659_AAC_GXA.matched.fastq,7331
,D18-2659_AAC_GXC.matched.fastq,9176
,D18-2659_AAC_GXG.matched.fastq,6992
,D18-2659_AAC_GXT.matched.fastq,12438
,D18-2659_AAC_TXA.matched.fastq,16986
,D18-2659_AAC_TXC.matched.fastq,12305
,D18-2659_AAC_TXG.matched.fastq,10592
,D18-2659_AAC_TXT.matched.fastq,16170
,D18-2659_ACT_AXA.matched.fastq,50940
,D18-2659_ACT_AXC.matched.fastq,42797
,D18-2659_ACT_AXG.matched.fastq,25724
,D18-2659_ACT_AXT.matched.fastq,44209
,D18-2659_ACT_CXA.matched.fastq,43956
,D18-2659_ACT_CXC.matched.fastq,35785
,D18-2659_ACT_CXG.matched.fastq,14166
,D18-2659_ACT_CXT.matched.fastq,50639
,D18-2659_ACT_GXA.matched.fastq,17959
,D18-2659_ACT_GXC.matched.fastq,34663
,D18-2659_ACT_GXG.matched.fastq,5074
,D18-2659_ACT_GXT.matched.fastq,42360
,D18-2659_ACT_TXA.matched.fastq,62084
,D18-2659_ACT_TXC.matched.fastq,46773
,D18-2659_ACT_TXG.matched.fastq,21808
,D18-2659_ACT_TXT.matched.fastq,30580
,D18-2659_AGA_AXA.matched.fastq,16706
,D18-2659_AGA_AXC.matched.fastq,12256
,D18-2659_AGA_AXG.matched.fastq,10866
,D18-2659_AGA_AXT.matched.fastq,16193
,D18-2659_AGA_CXA.matched.fastq,14996
,D18-2659_AGA_CXC.matched.fastq,11018
,D18-2659_AGA_CXG.matched.fastq,9388
,D18-2659_AGA_CXT.matched.fastq,17969
,D18-2659_AGA_GXA.matched.fastq,9142
,D18-2659_AGA_GXC.matched.fastq,10985
,D18-2659_AGA_GXG.matched.fastq,8284
,D18-2659_AGA_GXT.matched.fastq,14358
,D18-2659_AGA_TXA.matched.fastq,21157
,D18-2659_AGA_TXC.matched.fastq,15583
,D18-2659_AGA_TXG.matched.fastq,13066
,D18-2659_AGA_TXT.matched.fastq,20901
,D18-2659_ATG_GXC.matched.fastq,1
,D18-2659_ATG_GXT.matched.fastq,1
,D18-2659_CAT_AXA.matched.fastq,42396
,D18-2659_CAT_AXC.matched.fastq,32065
,D18-2659_CAT_AXG.matched.fastq,21740
,D18-2659_CAT_AXT.matched.fastq,38972
,D18-2659_CAT_CXA.matched.fastq,27622
,D18-2659_CAT_CXC.matched.fastq,20886
,D18-2659_CAT_CXG.matched.fastq,12171
,D18-2659_CAT_CXT.matched.fastq,29147
,D18-2659_CAT_GXA.matched.fastq,9387
,D18-2659_CAT_GXC.matched.fastq,24224
,D18-2659_CAT_GXG.matched.fastq,3283
,D18-2659_CAT_GXT.matched.fastq,32923
,D18-2659_CAT_TXA.matched.fastq,37458
,D18-2659_CAT_TXC.matched.fastq,24260
,D18-2659_CAT_TXG.matched.fastq,17754
,D18-2659_CAT_TXT.matched.fastq,25914
,D18-2659_CGG_AXA.matched.fastq,15803
,D18-2659_CGG_AXC.matched.fastq,12110
,D18-2659_CGG_AXG.matched.fastq,12147
,D18-2659_CGG_AXT.matched.fastq,16142
,D18-2659_CGG_CXA.matched.fastq,13165
,D18-2659_CGG_CXC.matched.fastq,9275
,D18-2659_CGG_CXG.matched.fastq,10072
,D18-2659_CGG_CXT.matched.fastq,15880
,D18-2659_CGG_GXA.matched.fastq,7827
,D18-2659_CGG_GXC.matched.fastq,10928
,D18-2659_CGG_GXG.matched.fastq,7712
,D18-2659_CGG_GXT.matched.fastq,13563
,D18-2659_CGG_TXA.matched.fastq,17654
,D18-2659_CGG_TXC.matched.fastq,11599
,D18-2659_CGG_TXG.matched.fastq,12991
,D18-2659_CGG_TXT.matched.fastq,16338
,D18-2659_GGC_AXA.matched.fastq,53075
,D18-2659_GGC_AXC.matched.fastq,46605
,D18-2659_GGC_AXG.matched.fastq,25985
,D18-2659_GGC_AXT.matched.fastq,48888
,D18-2659_GGC_CXA.matched.fastq,23972
,D18-2659_GGC_CXC.matched.fastq,34480
,D18-2659_GGC_CXG.matched.fastq,10980
,D18-2659_GGC_CXT.matched.fastq,53199
,D18-2659_GGC_GXA.matched.fastq,14909
,D18-2659_GGC_GXC.matched.fastq,38062
,D18-2659_GGC_GXG.matched.fastq,5676
,D18-2659_GGC_GXT.matched.fastq,46132
,D18-2659_GGC_TXA.matched.fastq,58749
,D18-2659_GGC_TXC.matched.fastq,42640
,D18-2659_GGC_TXG.matched.fastq,19580
,D18-2659_GGC_TXT.matched.fastq,30751
,D18-2659_TAG_AXA.matched.fastq,14
,D18-2659_TAG_AXC.matched.fastq,12
,D18-2659_TAG_AXG.matched.fastq,9
,D18-2659_TAG_AXT.matched.fastq,19
,D18-2659_TAG_CXA.matched.fastq,10
,D18-2659_TAG_CXC.matched.fastq,15
,D18-2659_TAG_CXG.matched.fastq,9
,D18-2659_TAG_CXT.matched.fastq,20
,D18-2659_TAG_GXA.matched.fastq,1
,D18-2659_TAG_GXC.matched.fastq,8
,D18-2659_TAG_GXG.matched.fastq,5
,D18-2659_TAG_GXT.matched.fastq,5
,D18-2659_TAG_TXA.matched.fastq,30
,D18-2659_TAG_TXC.matched.fastq,13
,D18-2659_TAG_TXG.matched.fastq,7
,D18-2659_TAG_TXT.matched.fastq,14
D18-2660,,
,180327Ess_D18-2660_1P.fastq,7941304
,180327Ess_D18-2660_2P.fastq,7941304
,180327Ess_D18-2660.assembled.fastq,5052230
,180327Ess_D18-2660.unassembled.forward.fastq,2889074
,180327Ess_D18-2660.unassembled.reverse.fastq,2889074
,D18-2660_AAC_TXT.matched.fastq,94589
,D18-2660_ACT_TXT.matched.fastq,205171
,D18-2660_AGA_TXT.matched.fastq,107518
,D18-2660_ATG_TXT.matched.fastq,55
,D18-2660_CAT_TXT.matched.fastq,247009
,D18-2660_CGG_TXT.matched.fastq,174067
,D18-2660_GGC_TXT.matched.fastq,314067
,D18-2660_TAG_TXT.matched.fastq,127
D18-2661,,
,180327Ess_D18-2661_1P.fastq,7505819
,180327Ess_D18-2661_2P.fastq,7505819
,180327Ess_D18-2661.assembled.fastq,5140799
,180327Ess_D18-2661.unassembled.forward.fastq,2365020
,180327Ess_D18-2661.unassembled.reverse.fastq,2365020
,D18-2661_AAC_TXA.matched.fastq,14151
,D18-2661_AAC_TXC.matched.fastq,43872
,D18-2661_AAC_TXG.matched.fastq,20735
,D18-2661_AAC_TXT.matched.fastq,69376
,D18-2661_ACT_TXA.matched.fastq,90775
,D18-2661_ACT_TXC.matched.fastq,67991
,D18-2661_ACT_TXG.matched.fastq,87249
,D18-2661_ACT_TXT.matched.fastq,75526
,D18-2661_AGA_TXA.matched.fastq,14714
,D18-2661_AGA_TXC.matched.fastq,45923
,D18-2661_AGA_TXG.matched.fastq,22275
,D18-2661_AGA_TXT.matched.fastq,74197
,D18-2661_ATG_TXG.matched.fastq,1
,D18-2661_CAT_TXA.matched.fastq,87278
,D18-2661_CAT_TXC.matched.fastq,58629
,D18-2661_CAT_TXG.matched.fastq,84591
,D18-2661_CAT_TXT.matched.fastq,64322
,D18-2661_CGG_TXA.matched.fastq,15385
,D18-2661_CGG_TXC.matched.fastq,43056
,D18-2661_CGG_TXG.matched.fastq,28196
,D18-2661_CGG_TXT.matched.fastq,71480
,D18-2661_GGC_TXA.matched.fastq,140622
,D18-2661_GGC_TXC.matched.fastq,105639
,D18-2661_GGC_TXG.matched.fastq,139691
,D18-2661_GGC_TXT.matched.fastq,118518
,D18-2661_TAG_TXA.matched.fastq,14
,D18-2661_TAG_TXC.matched.fastq,59
,D18-2661_TAG_TXG.matched.fastq,16
,D18-2661_TAG_TXT.matched.fastq,86
D18-2662,,
,180327Ess_D18-2662_1P.fastq,8824757
,180327Ess_D18-2662_2P.fastq,8824757
,180327Ess_D18-2662.assembled.fastq,6484174
,180327Ess_D18-2662.unassembled.forward.fastq,2340583
,180327Ess_D18-2662.unassembled.reverse.fastq,2340583
,D18-2662_AAC_AXGA.matched.fastq,11484
,D18-2662_AAC_AXGC.matched.fastq,5475
,D18-2662_AAC_AXGG.matched.fastq,10725
,D18-2662_AAC_AXGT.matched.fastq,9191
,D18-2662_AAC_CXGA.matched.fastq,34910
,D18-2662_AAC_CXGC.matched.fastq,26207
,D18-2662_AAC_CXGG.matched.fastq,6363
,D18-2662_AAC_CXGT.matched.fastq,7637
,D18-2662_AAC_GXGA.matched.fastq,31641
,D18-2662_AAC_GXGC.matched.fastq,26575
,D18-2662_AAC_GXGG.matched.fastq,2942
,D18-2662_AAC_GXGT.matched.fastq,453
,D18-2662_AAC_TXGA.matched.fastq,39
,D18-2662_AAC_TXGC.matched.fastq,42
,D18-2662_AAC_TXGG.matched.fastq,7209
,D18-2662_AAC_TXGT.matched.fastq,52
,D18-2662_ACT_AXGA.matched.fastq,103169
,D18-2662_ACT_AXGC.matched.fastq,46774
,D18-2662_ACT_AXGG.matched.fastq,21325
